v1,v2,,,
Legitimate,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,
Phishing,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,
Legitimate,Is that seriously how you spell his name?,,,
Legitimate,I‰Û÷m going to try for 2 months ha ha only joking,,,
Legitimate,So Ì_ pay first lar... Then when is da stock comin...,,,
Legitimate,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,
Legitimate,Ffffffffff. Alright no way I can meet up with you sooner?,,,
Legitimate,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,
Legitimate,Lol your always so convincing.,,,
Legitimate,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,
Legitimate,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,
Legitimate,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,
Legitimate,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,
Legitimate,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,
Legitimate,K tell me anything about you.,,,
Legitimate,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,
Phishing,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,
Legitimate,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,
Legitimate,"Oops, I'll let you know when my roommate's done",,,
Legitimate,I see the letter B on my car,,,
Legitimate,Anything lor... U decide...,,,
Legitimate,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,
Legitimate,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,
Legitimate,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
Phishing,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
Legitimate,WHO ARE YOU SEEING?,,,
Legitimate,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
Legitimate,No calls..messages..missed calls,,,
Legitimate,Didn't you get hep b immunisation in nigeria.,,,
Legitimate,"Fair enough, anything going on?",,,
Legitimate,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
Legitimate,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
Legitimate,What you thinked about me. First time you saw me in class.,,,
Legitimate,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
Legitimate,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
Legitimate,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
Phishing,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
Legitimate,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
Phishing,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,
Legitimate,"Sorry, I'll call later in meeting.",,,
Legitimate,Tell where you reached,,,
Legitimate,Yes..gauti and sehwag out of odi series.,,,
Legitimate,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
Legitimate,Ha ha ha good joke. Girls are situation seekers.,,,
Legitimate,Its a part of checking IQ,,,
Legitimate,"Sorry my roommates took forever, it ok if I come by now?",,,
Legitimate,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
Phishing,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
Legitimate,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
Phishing,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
Phishing,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
Legitimate,I plane to give on this month end.,,,
Legitimate,Wah lucky man... Then can save money... Hee...,,,
Legitimate,Finished class where are you.,,,
Legitimate,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
Legitimate,K..k:)where are you?how did you performed?,,,
Legitimate,U can call me now...,,,
Legitimate,I am waiting machan. Call me once you free.,,,
Legitimate,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
Legitimate,I like you peoples very much:) but am very shy pa.,,,
Legitimate,Does not operate after  &lt;#&gt;  or what,,,
Legitimate,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
Legitimate,"Sorry, I'll call later",,,
Legitimate,K. Did you call me just now ah? ,,,
Legitimate,Ok i am on the way to home hi hi,,,
Legitimate,You will be in the place of that man,,,
Legitimate,Yup next stop.,,,
Legitimate,"I call you later, don't have network. If urgnt, sms me.",,,
Legitimate,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
Legitimate,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
Legitimate,I'm really not up to it still tonight babe,,,
Legitimate,"Ela kano.,il download, come wen ur free..",,,
Legitimate,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,,,
Legitimate,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
Legitimate,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
Phishing,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Legitimate,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
Phishing,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
Legitimate,Watching telugu movie..wat abt u?,,,
Legitimate,i see. When we finish we have loads of loans to pay,,,
Legitimate,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""Legitimate""",,,
Legitimate,Please don't text me anymore. I have nothing else to say.,,,
Legitimate,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
Legitimate,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
Legitimate,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Legitimate,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
Legitimate,Umma my life and vava umma love you lot dear,,,
Legitimate,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
Legitimate,"Aight, I'll hit you up when I get some cash",,,
Legitimate,How would my ip address test that considering my computer isn't a minecraft server,,,
Legitimate,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
Legitimate,Dont worry. I guess he's busy.,,,
Legitimate,What is the plural of the noun research?,,,
Legitimate,Going for dinner.msg you after.,,,
Legitimate,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
Phishing,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
Legitimate,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
Legitimate,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Phishing,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
Legitimate,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
Legitimate,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
Phishing,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
Phishing,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,
Legitimate,here is my new address -apples&pairs&all that malarky,,,
Phishing,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
Legitimate,I am going to sao mu today. Will be done only at 12 ,,,
Legitimate,ÌÏ predict wat time Ì_'ll finish buying?,,,
Legitimate,"Good stuff, will do.",,,
Legitimate,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
Legitimate,Are you there in room.,,,
Legitimate,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
Legitimate,K..k:)how much does it cost?,,,
Legitimate,I'm home.,,,
Legitimate,"Dear, will call Tmorrow.pls accomodate.",,,
Legitimate,First answer my question.,,,
Phishing,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
Phishing,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
Legitimate,I only haf msn. It's yijue@hotmail.com,,,
Legitimate,He is there. You call and meet him,,,
Legitimate,No no. I will check all rooms befor activities,,,
Phishing,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
Legitimate,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
Legitimate,"K, text me when you're on the way",,,
Legitimate,"Sir, Waiting for your mail.",,,
Legitimate,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
Legitimate,I know you are. Can you pls open the back?,,,
Legitimate,Yes see ya not on the dot,,,
Legitimate,Whats the staff name who is taking class for us?,,,
Phishing,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
Legitimate,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
Legitimate,K..i deleted my contact that why?,,,
Legitimate,Sindu got job in birla soft ..,,,
Legitimate,The wine is flowing and i'm i have nevering..,,,
Legitimate,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
Legitimate,Ok... Ur typical reply...,,,
Legitimate,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Legitimate,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
Legitimate,Aaooooright are you at work?,,,
Legitimate,I'm leaving my house now...,,,
Legitimate,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
Phishing,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
Phishing,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
Legitimate,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
Legitimate,New car and house for my parents.:)i have only new job in hand:),,,
Legitimate,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
Phishing,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
Phishing,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
Legitimate,I place all ur points on e cultures module already.,,,
Phishing,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,
Legitimate,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
Legitimate,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
Legitimate,Yes :)it completely in out of form:)clark also utter waste.,,,
Legitimate,"Sir, I need AXIS BANK account no and bank address.",,,
Legitimate,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
Legitimate,What time you coming down later? ,,,
Legitimate,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
Legitimate,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
Legitimate,Let me know when you've got the money so carlos can make the call,,,
Legitimate,U still going to the mall?,,,
Legitimate,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
Legitimate,Text her. If she doesnt reply let me know so i can have her log in,,,
Legitimate,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
Legitimate,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
Legitimate,Lol no. U can trust me.,,,
Legitimate,ok. I am a gentleman and will treat you with dignity and respect.,,,
Legitimate,"He will, you guys close?",,,
Legitimate,Going on nothing great.bye,,,
Legitimate,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
Legitimate,"Haha awesome, be there in a minute",,,
Phishing,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Legitimate,Have you got Xmas radio times. If not i will get it now,,,
Legitimate,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
Phishing,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
Legitimate,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
Legitimate,Hi :)finally i completed the course:),,,
Legitimate,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
Legitimate,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
Legitimate,Gud mrng dear hav a nice day,,,
Legitimate,Did u got that persons story,,,
Legitimate,is your Legitimatester dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
Legitimate,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
Legitimate,"Found it, ENC  &lt;#&gt; , where you at?",,,
Legitimate,I sent you  &lt;#&gt;  bucks,,,
Legitimate,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
Legitimate,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
Legitimate,Goodmorning sleeping ga.,,,
Legitimate,U call me alter at 11 ok.,,,
Legitimate,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,
Legitimate,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Legitimate,"Aight yo, dats straight dogg",,,
Legitimate,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
Legitimate,Both :) i shoot big loads so get ready!,,,
Legitimate,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
Legitimate,Home so we can always chat,,,
Legitimate,K:)k:)good:)study well.,,,
Legitimate,Yup... How Ì_ noe leh...,,,
Legitimate,Sounds great! Are you home now?,,,
Legitimate,Finally the match heading towards draw as your prediction.,,,
Legitimate,Tired. I haven't slept well the past few nights.,,,
Legitimate,Easy ah?sen got selected means its good..,,,
Legitimate,I have to take exam with march 3,,,
Legitimate,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
Legitimate,Ok no prob. Take ur time.,,,
Legitimate,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
Legitimate,"Sorry, I'll call later",,,
Legitimate,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
Phishing,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
Legitimate,Would really appreciate if you call me. Just need someone to talk to.,,,
Phishing,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
Legitimate,Hey company elama po mudyadhu.,,,
Legitimate,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
Legitimate,Dear good morning now only i am up,,,
Legitimate,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
Legitimate,Dear we are going to our rubber place,,,
Legitimate,"Sorry battery died, yeah I'm here",,,
Legitimate,Yes:)here tv is always available in work place..,,,
Phishing,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
Legitimate,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
Legitimate,Or ill be a little closer like at the bus stop on the same street,,,
Legitimate,Where are you?when wil you reach here?,,,
Legitimate,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
Phishing,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
Legitimate,Tomarrow final hearing on my laptop case so i cant.,,,
Legitimate,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
Legitimate,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
Legitimate,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
Legitimate,U don't remember that old commercial?,,,
Legitimate,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
Legitimate,I asked you to call him now ok,,,
Legitimate,Kallis wont bat in 2nd innings.,,,
Legitimate,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
Phishing,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
Legitimate,Ranjith cal drpd Deeraj and deepak 5min hold,,,
Legitimate,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
Legitimate,What you doing?how are you?,,,
Legitimate,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
Legitimate,"I'm back, lemme know when you're ready",,,
Legitimate,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
Legitimate,Mmm so yummy babe ... Nice jolt to the suzy,,,
Legitimate,Where are you lover ? I need you ...,,,
Phishing,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
Legitimate,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
Legitimate,Yup,,,
Legitimate,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
Legitimate,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
Phishing,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
Legitimate,Why you Dint come with us.,,,
Legitimate,Same. Wana plan a trip sometme then,,,
Legitimate,"Not sure yet, still trying to get a hold of him",,,
Phishing,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
Legitimate,The evo. I just had to download flash. Jealous?,,,
Phishing,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
Legitimate,"Come to mu, we're sorting out our narcotics situation",,,
Legitimate,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
Phishing,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
Legitimate,"Usf I guess, might as well take 1 car",,,
Legitimate,No objection. My bf not coming.,,,
Legitimate,Thanx...,,,
Legitimate,Tell rob to mack his gf in the theater,,,
Legitimate,"Awesome, I'll see you in a bit",,,
Legitimate,Just sent it. So what type of food do you like?,,,
Legitimate,All done? All handed in? Celebrations in full swing yet?,,,
Legitimate,You got called a tool?,,,
Legitimate,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
Legitimate,Ok. I asked for money how far,,,
Legitimate,Okie...,,,
Legitimate,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
Legitimate,"K, I might come by tonight then if my class lets out early",,,
Legitimate,Ok..,,,
Legitimate,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
Legitimate,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
Legitimate,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
Legitimate,Hey you told your name to gautLegitimate ah?,,,
Legitimate,Haf u found him? I feel so stupid da v cam was working.,,,
Legitimate,Oops. 4 got that bit.,,,
Legitimate,Are you this much buzy,,,
Legitimate,I accidentally deleted the message. Resend please.,,,
Phishing,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
Legitimate,Unless it's a situation where YOU GO GURL would be more appropriate,,,
Legitimate,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
Legitimate,I cant pick the phone right now. Pls send a message,,,
Legitimate,Need a coffee run tomo?Can't believe it's that time of week already,,,
Legitimate,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
Legitimate,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
Legitimate,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
Legitimate,He is a womdarfull actor,,,
Phishing,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
Legitimate,Yup... From what i remb... I think should be can book... ,,,
Legitimate,Jos ask if u wana meet up?,,,
Legitimate,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
Phishing,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,
Legitimate,Where are the garage keys? They aren't on the bookshelf,,,
Legitimate,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
Phishing,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
Legitimate,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
Legitimate,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,
Legitimate,You made my day. Do have a great day too.,,,
Legitimate,K.k:)advance happy pongal.,,,
Legitimate,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
Legitimate,"Not really dude, have no friends i'm afraid :(",,,
Phishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
Legitimate,"Coffee cake, i guess...",,,
Legitimate,"Merry Christmas to you too babe, i love ya *kisses*",,,
